date_game,team_name,pts,game_type,attendance,distance
2016-10-25,Cleveland Cavaliers,117,Regular,20562,0
2016-10-25,Portland Trail Blazers,113,Regular,19446,0
2016-10-25,Golden State Warriors,100,Regular,19596,0
2016-10-26,Indiana Pacers,130,Regular,17923,0
2016-10-26,Orlando Magic,96,Regular,19298,0
2016-10-26,Boston Celtics,122,Regular,18624,0
2016-10-26,Toronto Raptors,109,Regular,19800,0
2016-10-26,New Orleans Pelicans,102,Regular,15869,0
2016-10-26,Milwaukee Bucks,96,Regular,18717,0
2016-10-26,Memphis Grizzlies,102,Regular,18119,0
2016-10-26,Philadelphia 76ers,97,Regular,20487,0
2016-10-26,Phoenix Suns,94,Regular,18055,0
2016-10-26,Los Angeles Lakers,120,Regular,18997,0
2016-10-27,Atlanta Hawks,114,Regular,19049,0
2016-10-27,Chicago Bulls,105,Regular,21501,0
2016-10-27,Portland Trail Blazers,106,Regular,19500,0
2016-10-27,Sacramento Kings,94,Regular,17608,0
2016-10-28,Toronto Raptors,91,Regular,19800,0
2016-10-28,Brooklyn Nets,103,Regular,17732,0
2016-10-28,Detroit Pistons,108,Regular,19122,0
2016-10-28,Oklahoma City Thunder,113,Regular,18203,0
2016-10-28,Miami Heat,91,Regular,19600,0
2016-10-28,Dallas Mavericks,98,Regular,20163,0
2016-10-28,Utah Jazz,96,Regular,19911,0
2016-10-28,New Orleans Pelicans,114,Regular,18217,0
2016-10-29,Philadelphia 76ers,72,Regular,16312,0
2016-10-29,Charlotte Hornets,98,Regular,18708,0
2016-10-29,Cleveland Cavaliers,105,Regular,20562,0
2016-10-29,New York Knicks,111,Regular,19812,0
2016-10-29,San Antonio Spurs,98,Regular,18418,0
2016-10-29,Milwaukee Bucks,110,Regular,12570,0
2016-10-29,Chicago Bulls,118,Regular,21373,0
2016-10-29,Denver Nuggets,113,Regular,18055,0
2016-10-29,Sacramento Kings,106,Regular,17608,0
2016-10-30,Los Angeles Clippers,88,Regular,19060,0
2016-10-30,Detroit Pistons,98,Regular,15161,0
2016-10-30,Phoenix Suns,100,Regular,17011,0
2016-10-30,Miami Heat,99,Regular,19678,0
2016-10-30,Oklahoma City Thunder,113,Regular,18203,0
2016-10-30,Memphis Grizzlies,112,Regular,15573,0
2016-10-30,Houston Rockets,93,Regular,18055,0
2016-10-31,Atlanta Hawks,106,Regular,12501,0
2016-10-31,Brooklyn Nets,88,Regular,15842,0
2016-10-31,Toronto Raptors,105,Regular,19800,0
2016-10-31,Los Angeles Clippers,116,Regular,19060,0
2016-11-01,Cleveland Cavaliers,128,Regular,20562,0
2016-11-01,Indiana Pacers,115,Regular,15348,0
2016-11-01,Philadelphia 76ers,101,Regular,12529,0
2016-11-01,Detroit Pistons,102,Regular,13087,0
2016-11-01,Miami Heat,108,Regular,19612,0
2016-11-01,Minnesota Timberwolves,116,Regular,14774,0
2016-11-01,New Orleans Pelicans,113,Regular,15515,0
2016-11-01,San Antonio Spurs,91,Regular,18418,0
2016-11-01,Portland Trail Blazers,104,Regular,19393,0
2016-11-02,Charlotte Hornets,109,Regular,15275,0
2016-11-02,Washington Wizards,103,Regular,19581,0
2016-11-02,Atlanta Hawks,116,Regular,13800,0
2016-11-02,Brooklyn Nets,109,Regular,13650,0
2016-11-02,New York Knicks,99,Regular,19812,0
2016-11-02,Boston Celtics,107,Regular,18624,0
2016-11-02,Memphis Grizzlies,89,Regular,15881,0
2016-11-02,Utah Jazz,97,Regular,19318,0
2016-11-02,Phoenix Suns,118,Regular,17284,0
2016-11-02,Los Angeles Clippers,83,Regular,19060,0
2016-11-03,Orlando Magic,102,Regular,17026,0
2016-11-03,Cleveland Cavaliers,128,Regular,20562,0
2016-11-03,Milwaukee Bucks,125,Regular,11374,0
2016-11-03,Minnesota Timberwolves,99,Regular,11219,0
2016-11-03,Golden State Warriors,122,Regular,19596,0
2016-11-04,Washington Wizards,95,Regular,14663,0
2016-11-04,Brooklyn Nets,95,Regular,15775,0
2016-11-04,Toronto Raptors,96,Regular,19800,0
